ID	strand	5seen	polyAseen	3seen	5end	polyAend	3end
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/498/2240_2830	-	0	1	1	NA	535	559
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/498/2869_3059	+	1	0	0	23	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/499/1068_2077	+	0	1	1	NA	956	970
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/499/2121_2351	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/410_693	+	0	1	1	NA	232	253
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/733_1715	-	1	1	1	27	930	957
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/1763_2729	+	1	1	1	24	908	940
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/2774_3744	-	1	1	1	25	923	948
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/3783_4718	+	1	1	1	23	877	903
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/4758_5721	-	0	1	1	NA	911	934
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/505/5762_6186	-	0	0	1	NA	NA	401
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/510/935_4012	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/511/0_2903	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/523/0_1105	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/529/0_580	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/529/623_998	-	0	1	1	NA	319	345
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/530/0_910	+	0	1	1	NA	853	881
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/531/1029_1455	+	0	0	1	NA	NA	400
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/531/1505_3177	+	1	1	1	17	1624	1647
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/531/3222_4965	-	1	1	1	23	1697	1721
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/531/5005_5738	-	0	0	1	NA	NA	705
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/534/1154_3249	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/541/0_364	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/547/0_698	+	0	1	1	NA	630	667
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/547/748_2766	-	1	1	1	27	1963	1985
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/547/2808_4332	-	0	0	1	NA	NA	1496
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/552/0_1159	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/557/0_1156	+	0	1	1	NA	1097	1125
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/557/1201_3206	-	1	1	1	26	1947	1974
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/557/3253_3479	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/559/0_3348	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/561/0_781	+	0	1	1	NA	723	752
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/561/825_1634	-	0	1	1	NA	715	776
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/568/4022_5507	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/573/0_754	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/574/1821_3031	+	0	1	1	NA	1146	1175
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/574/3083_3386	-	0	1	1	NA	241	268
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/597/4750_4840	-	1	0	0	23	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/597/4885_5929	+	1	0	0	25	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/599/0_2685	+	0	1	1	NA	2630	2657
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/599/2731_3602	-	0	1	1	NA	816	842
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/602/856_2505	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/604/0_930	-	1	1	0	25	908	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/604/973_1963	+	1	1	1	23	931	959
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/604/2011_3015	-	1	1	1	28	948	973
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/604/3059_4049	+	1	1	1	25	934	958
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/604/4089_5117	+	0	0	1	NA	NA	999
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/604/5161_5415	-	0	0	1	NA	NA	228
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/605/371_1867	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/606/0_831	+	0	0	1	NA	NA	775
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/608/1251_2186	-	1	0	0	23	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/608/2231_3263	+	1	1	1	24	979	1003
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/608/3306_4336	-	1	1	1	25	972	1001
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/608/4387_5384	+	0	1	1	NA	947	972
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/608/5424_5911	-	0	1	1	NA	432	457
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/621/346_2089	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/623/390_971	+	0	1	1	NA	523	549
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/623/1018_2222	-	1	1	1	23	1141	1166
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/623/2273_2345	-	0	0	1	NA	NA	38
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/635/248_835	+	0	1	1	NA	528	558
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/635/883_1806	-	0	1	1	NA	869	893
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/635/1849_2630	+	1	0	0	27	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/637/0_2102	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/641/0_421	+	0	1	1	NA	367	392
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/641/460_2459	-	0	1	1	NA	1932	1962
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/641/2504_3883	-	0	0	1	NA	NA	1353
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/645/0_1327	+	0	1	1	NA	1271	1297
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/645/1372_2136	-	0	1	1	NA	695	731
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/648/608_1095	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/648/1138_2745	+	1	1	1	18	1550	1579
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/648/2785_4366	-	1	1	1	24	1532	1552
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/648/4414_4967	-	0	0	1	NA	NA	531
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/649/1730_2854	+	0	0	1	NA	NA	1094
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/649/2904_3137	+	1	0	0	30	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/665/0_773	+	0	0	1	NA	NA	742
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/665/823_3488	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/669/48_656	+	0	1	1	NA	565	588
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/669/706_1535	-	1	1	1	26	777	802
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/669/1578_2362	-	0	0	1	NA	NA	759
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/683/0_1066	+	0	1	1	NA	1009	1037
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/683/1106_1630	-	0	1	1	NA	483	498
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/684/0_110	-	1	0	0	29	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/684/151_979	+	0	1	1	NA	768	798
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/684/1023_1843	-	1	1	1	23	768	797
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/684/1893_2619	-	0	0	1	NA	NA	699
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/687/0_113	+	0	1	1	NA	62	89
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/687/157_1011	-	0	1	1	NA	801	827
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/687/1052_1951	+	1	1	1	24	845	870
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/687/1997_2841	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/687/2885_3758	+	1	1	1	25	819	845
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/687/3802_4669	-	0	1	1	NA	807	838
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/691/0_668	-	1	0	0	38	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/691/712_1348	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/691/1392_2110	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/691/2157_2826	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/691/2867_3499	+	0	0	1	NA	NA	602
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/691/3543_3844	+	1	0	0	23	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/694/902_1890	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/705/0_1342	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/706/0_1098	+	0	1	1	NA	1049	1069
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/706/1139_2224	-	0	1	1	NA	1028	1052
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/706/2276_3382	+	0	1	1	NA	1054	1079
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/706/3425_4481	-	0	1	1	NA	1001	1029
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/707/0_412	+	0	0	1	NA	NA	381
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/707/454_2100	+	1	1	1	25	1587	1618
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/707/2146_2199	-	0	0	1	NA	NA	25
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/708/94_1086	+	1	1	1	29	940	963
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/708/1129_2083	-	0	1	1	NA	898	923
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/709/0_637	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/709/681_2729	+	0	0	1	NA	NA	2017
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/709/2777_4118	+	1	1	0	28	1261	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/709/4179_5897	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/710/292_1827	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/714/2361_2801	+	0	1	1	NA	389	411
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/714/2847_3110	-	0	1	1	NA	209	233
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/717/603_2040	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/717/2093_2952	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/720/1767_2089	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/720/2142_6984	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/721/0_847	+	0	0	1	NA	NA	814
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/721/895_1849	-	0	1	1	NA	897	922
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/725/0_1349	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/725/1394_2022	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/725/2063_2697	-	0	1	1	NA	583	608
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/725/2745_3361	+	0	1	1	NA	557	585
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/725/3400_3782	-	0	1	1	NA	333	354
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/727/1603_3433	+	0	1	1	NA	1765	1798
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/727/3479_4698	-	0	1	1	NA	1170	1192
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/0_419	+	0	1	1	NA	354	391
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/457_1330	-	1	1	1	25	819	843
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/1370_2211	-	1	1	1	25	791	811
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/2255_3132	-	1	1	1	22	826	848
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/3173_4038	-	1	1	1	27	818	838
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/4080_4932	+	1	1	1	25	798	823
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/729/4974_5848	-	1	1	1	23	824	846
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/731/554_1913	+	0	0	1	NA	NA	1322
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/731/1951_3139	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/732/1436_3561	-	1	0	0	28	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/732/3602_4623	+	1	1	1	26	967	991
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/732/4666_5635	-	0	1	1	NA	920	940
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/732/5671_5776	-	0	0	1	NA	NA	81
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/733/1202_1580	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/736/0_1139	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/739/0_497	+	0	0	1	NA	NA	434
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/739/543_1082	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/742/0_311	+	0	1	1	NA	248	281
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/742/354_1794	-	1	1	1	23	1377	1406
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/742/1838_2454	-	0	0	1	NA	NA	588
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/746/228_849	+	0	1	1	NA	565	590
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/746/895_3019	-	1	1	1	24	2065	2091
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/746/3064_4636	+	1	0	0	26	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/747/0_1665	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/748/364_1297	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/748/1353_2419	+	0	1	1	NA	1011	1033
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/748/2472_3010	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/750/0_371	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/750/417_1196	+	0	1	1	NA	727	749
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/750/1239_2067	-	1	1	1	26	770	798
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/750/2113_2903	+	1	1	1	24	737	765
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/750/2953_3787	-	1	1	1	28	779	806
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/750/3832_4007	+	1	0	0	27	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/751/0_1274	+	0	0	1	NA	NA	1243
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/751/1318_2542	+	1	1	1	27	1164	1190
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/751/2591_3842	-	1	1	1	28	1200	1219
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/751/3886_5132	+	1	1	1	28	1191	1216
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/751/5177_5322	-	0	1	1	NA	90	116
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/752/0_1169	+	0	1	1	NA	1109	1140
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/752/1217_2510	-	1	1	1	28	1230	1265
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/752/2555_3815	+	1	1	1	25	1199	1232
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/752/3858_5135	-	1	1	1	24	1223	1251
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/752/5185_5893	-	0	0	1	NA	NA	680
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/753/0_1087	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/753/1130_2151	+	1	1	1	27	973	989
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/753/2192_3203	-	1	1	1	25	958	983
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/753/3248_4284	-	1	0	1	26	NA	1009
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/753/4329_4689	-	0	1	1	NA	301	329
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/754/396_1500	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/755/516_570	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/755/617_1920	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/756/0_1203	+	0	1	1	NA	1164	1183
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/756/1247_2383	-	0	1	1	NA	1078	1107
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/756/2426_3577	+	0	1	1	NA	1077	1117
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/756/3622_3925	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/759/0_366	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/759/410_1278	+	1	1	1	25	812	833
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/759/1321_2211	-	1	1	1	25	839	861
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/759/2256_2401	+	1	0	0	38	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/762/923_1371	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/772/666_2050	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/776/0_1549	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/797/0_458	+	0	1	1	NA	401	429
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/797/503_1479	-	0	1	1	NA	918	948
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/812/0_275	-	1	0	0	46	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/813/0_1506	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/814/0_379	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/816/0_959	+	0	0	1	NA	NA	913
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/817/0_149	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/819/0_1510	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/819/1560_2914	-	0	0	1	NA	NA	1326
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/820/0_848	+	0	0	1	NA	NA	817
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/820/893_1347	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/821/1438_1784	+	0	0	1	NA	NA	323
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/821/1827_3451	+	0	1	1	NA	1567	1593
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/821/3500_4449	-	0	1	1	NA	894	919
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/822/0_523	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/826/3239_4016	+	0	0	1	NA	NA	747
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/826/4057_4807	-	0	0	1	NA	NA	724
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/828/1640_2651	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/828/2699_3305	+	1	0	0	26	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/833/0_744	+	0	0	1	NA	NA	720
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/833/785_1955	+	1	1	1	22	1109	1139
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/833/2004_3182	-	0	1	1	NA	402	422
